flight_ID,scheduled_flt_time,actual_flt_time,BGATE_ID
MU2552,2016/9/13 23:45:00,,B17
ZH9663,2016/9/14 23:50:00,,A133
KY9663,2016/9/14 23:50:00,,A133
CA3405,2016/9/14 23:50:00,,A133
HU7361,2016/9/14 23:40:00,,B17
KL4326,2016/9/14 23:35:00,,B217
MF1272,2016/9/14 23:35:00,,B217
MU4507,2016/9/14 23:35:00,,B217
ZH9669,2016/9/14 23:35:00,,A13
CZ3392,2016/9/14 23:35:00,,B217
HU7848,2016/9/14 23:40:00,,B232
HU7031,2016/9/14 23:35:00,,B15
CZ3777,2016/9/14 23:40:00,,B222
MU3619,2016/9/14 23:40:00,,B222
OQ2356,2016/9/14 23:40:00,,B07
MF1643,2016/9/14 23:40:00,,B222
MU5740,2016/9/14 23:25:00,,B13
CZ9659,2016/9/14 23:25:00,,B13
JD5169,2016/9/14 23:35:00,,B230
MU5717,2016/9/14 23:25:00,,B13
MF3210,2016/9/14 23:25:00,,B13
ZH9667,2016/9/14 23:30:00,,A18
KY9667,2016/9/14 23:30:00,,A18
CA3584,2016/9/14 23:30:00,,A18
ZH9677,2016/9/14 23:25:00,,A14
CZ3027,2016/9/14 23:30:00,,A122
CZ3539,2016/9/14 23:25:00,,B08
MF1419,2016/9/14 23:25:00,,B08
MU3578,2016/9/14 23:25:00,,B08
JD5171,2016/9/14 23:25:00,,B235
HU7143,2016/9/14 23:30:00,,B224
CA4547,2016/9/14 23:20:00,,A17
MU3424,2016/9/14 23:20:00,,B219
MF4537,2016/9/14 23:20:00,,B219
CZ6915,2016/9/14 23:20:00,,B219
CA3781,2016/9/14 23:15:00,,A16
ZH9681,2016/9/14 23:15:00,,A16
KY9681,2016/9/14 23:15:00,,A16
CA3813,2016/9/14 23:20:00,,A125
KY9615,2016/9/14 23:20:00,,A125
ZH9615,2016/9/14 23:20:00,,A125
HU7213,2016/9/14 23:20:00,,B233
HU7153,2016/9/14 23:15:00,,B227
CZ3635,2016/9/14 23:05:00,,B904
MF1517,2016/9/14 23:05:00,,B904
MU3558,2016/9/14 23:05:00,,B904
AF4618,2016/9/14 23:10:00,,B02
DL7768,2016/9/14 23:10:00,,B02
CZ3481,2016/9/14 23:10:00,,B02
MU3360,2016/9/14 23:10:00,,B02
MF1361,2016/9/14 23:10:00,,B02
SC4340,2016/9/14 23:05:00,,A15
CA4340,2016/9/14 23:05:00,,A15
ZH4340,2016/9/14 23:05:00,,A15
KY9673,2016/9/14 23:00:00,,A14
CA3393,2016/9/14 23:00:00,,A14
ZH9673,2016/9/14 23:00:00,,A14
CZ3403,2016/9/14 23:05:00,,B04
MU3340,2016/9/14 23:05:00,,B04
3U3007,2016/9/14 23:05:00,,B04
AF4414,2016/9/14 23:05:00,,B04
MF1283,2016/9/14 23:05:00,,B04
CZ6772,2016/9/14 23:00:00,,B10
MF4403,2016/9/14 23:00:00,,B10
MU3474,2016/9/14 23:00:00,,B10
MF1811,2016/9/14 23:05:00,,B01
